CompanyID,SalesOfMainProduct,SalesOfOtherProduct,Monthly budget,PrimaryType,Rank,YearFounded,CompanyStatus,OriginCity,OriginCountry,Investments,TodaysClients,ReturningClient,TotalActiveClients,ClientsInTheLast7Days,ClientsInTheLast6Months,ClientsInTheLast12Months,TotalClientsInTheLast7Days,TotalClientsInTheLast6Months,TotalClientsInTheLast12Months
10028-71,21,78,1511243.177,Furniture,447.4435706,1848,Actively Seeking New Employees,Paris,France,31,425,27,134,1,5,7,1,12,18
10028-80,0,7,,Alcohol,,2000,Acquired/Merged (Operating Subsidiary),Austin,United States,3,23,3,9,,,1,,,1
10029-16,1,1,,Banking,,1934,,Los Angeles,United States,2,6,1,1,,1,1,,1,1
10030-60,2,14,743,Alcohol,105.9177216,2001,Actively Seeking New Employees,Santa Monica,United States,2,64,2,16,,,,,,1
10030-69,2,10,2000,Alcohol,286.1148823,1993,Actively Seeking New Employees,New York,United States,1,83,1,15,,1,1,,3,5
100312-57,0,0,,Electronics,,,,San Francisco,United States,2,15,2,12,,,,,,
10033-66,10,72,31452.83043,Alcohol,6937.010614,1984,Actively Seeking New Employees,London,United Kingdom,1,493,1,62,,1,1,,13,24
100338-31,4,5,600,Pets,,2014,Actively Seeking New Employees,Beijing,China,1,174,1,109,,,,,6,12
10034-56,0,1,,Other,,1912,,Boston,United States,1,7,1,3,,,,,,
10035-19,0,1,,Banking,,1995,Acquired/Merged (Operating Subsidiary),Edinburgh,United Kingdom,1,5,1,1,,,,,,
10035-46,19,20,49000,Alcohol,9255.901191,1984,Actively Seeking New Employees,San Francisco,United States,2,549,1,24,,1,1,2,30,53
100357-12,0,5,,Pets,7.06357,2014,Actively Seeking New Employees,Toronto,Canada,8,27,8,21,,,,,,
10037-35,21,61,,Furniture,1.96629213,1971,Acquired/Merged (Operating Subsidiary),New York,United States,4,193,4,30,,,,,,
100370-71,0,0,,Banking,,1946,Actively Seeking New Employees,Santa Clara,United States,7,17,7,13,,1,2,,2,3
100370-80,1,1,,Toys,,2012,Actively Seeking New Employees,San Francisco,United States,2,16,2,9,,,,,,
10038-79,4,9,8787.273,Furniture,0,1962,Acquired/Merged (Operating Subsidiary),New York,United States,7,47,5,12,,1,1,,1,1
10039-51,24,78,60000,Alcohol,7874.729805,1989,Actively Seeking New Employees,Providence,United States,2,675,1,56,,1,2,1,23,36
10040-05,18,32,27000,Alcohol,19705.90181,1978,Actively Seeking New Employees,New York,United States,1,295,1,37,,,,,14,31
100405-81,0,3,,Pets,,,Actively Seeking New Employees,New York,United States,2,2,1,1,,,,,,
10042-21,10,49,900,Alcohol,282.1430513,2003,Actively Seeking New Employees,Salt Lake City,United States,22,313,17,66,,1,3,,4,12
10042-84,2,7,462000,Banking,,1845,Actively Seeking New Employees,Pittsburgh,United States,2,58,2,13,,,,,6,6
10043-83,120,252,2000000,Furniture,1077.536,1869,Actively Seeking New Employees,New York,United States,68,1155,58,274,,9,19,,35,56
100430-56,0,1,,Gardening,,1981,Actively Seeking New Employees,Contern,Luxembourg,1,8,1,1,,,,,,
10045-36,10,14,25000,Alcohol,7873.307067,2005,Actively Seeking New Employees,New York,United States,2,210,1,48,,1,1,,13,14
10045-81,21,70,1200000,Furniture,4267.864803,1935,Actively Seeking New Employees,New York,United States,21,422,17,114,,6,10,1,22,32
10045-90,1,26,4365.52,Furniture,,1933,Actively Seeking New Employees,Little Rock,United States,1,117,1,23,,,1,,,2
100450-27,1,1,,Banking,,1984,Actively Seeking New Employees,Bangkok,Thailand,3,12,2,6,,,,,,
10046-26,13,49,3875,Growth/Expansion,1863.35,1994,Actively Seeking New Employees,Boston,United States,8,281,5,38,,,2,,6,10
10046-80,72,145,105000,Alcohol,18772.52754,1984,Actively Seeking New Employees,Boston,United States,15,900,13,118,,1,4,2,31,52
100464-85,0,3,43.5,Pets,16.48543285,2013,Actively Seeking New Employees,Chevy Chase,United States,10,53,7,31,,,1,,,3
100465-03,0,2,,Angel Group,,2004,Actively Seeking New Employees,New York,United States,2,11,2,7,,,,,,
10047-34,1,5,,Banking,,2005,Actively Seeking New Employees,New York,United States,5,24,4,9,,2,3,,2,3
100470-79,0,8,90.72931855,Pets,0.04652435,2014,Actively Seeking New Employees,Geleen,Netherlands,2,47,2,22,,,1,,,3
10048-15,108,302,230000,Alcohol,38695.66472,1987,Actively Seeking New Employees,Washington,United States,10,2008,5,293,,4,5,3,92,128
10048-33,2,12,,Alcohol,29.81792733,2001,Actively Seeking New Employees,Los Angeles,United States,11,65,9,18,,1,4,,1,5
10049-14,14,97,1100,Alcohol,356.5596845,1989,Actively Seeking New Employees,Chicago,United States,19,370,15,49,,4,6,,9,18
10049-41,3,6,63568.24132,Furniture,,1921,,Tel Aviv,Israel,3,16,3,9,,1,1,,1,1
10050-49,8,50,25000,Alcohol,11051.3063,1999,Actively Seeking New Employees,San Francisco,United States,12,307,10,54,,5,6,1,21,38
10051-21,61,132,85000,Alcohol,28439.57118,1992,Actively Seeking New Employees,Fort Worth,United States,9,878,7,147,,,1,,39,63
100511-29,0,0,,Angel Group,,,Actively Seeking New Employees,Montreal,Canada,1,6,1,3,,,,,,
10052-20,59,253,8900,Pets,2396.584704,1983,Actively Seeking New Employees,Boston,United States,169,1196,106,191,1,16,39,1,27,56
100530-28,0,0,,Banking,,,,,,1,2,1,2,,,,,,
100532-62,0,0,,Toys,0.7047509,2014,Actively Seeking New Employees,Boulder,United States,1,110,1,69,,,,,5,6
10054-72,16,60,35000,Alcohol,701.0506935,1982,Actively Seeking New Employees,Manama,Bahrain,7,464,5,85,,3,4,3,21,33
10056-25,28,57,27000,Growth/Expansion,3583.087185,1979,Actively Seeking New Employees,New York,United States,1,368,1,28,,,,,8,10
10056-43,9,17,0,Alcohol,823.72183,2000,Acquired/Merged,New York,United States,2,101,1,3,,,,,,
10057-78,0,1,,Toys,,1930,,London,United Kingdom,3,7,1,4,,,,,,1
100575-55,1,7,120.9724247,Pets,,2012,Actively Seeking New Employees,Berlin,Germany,9,36,7,16,,2,2,,4,4
10058-41,5,32,56276.90843,Pharma,17656.87075,1988,Acquired/Merged (Operating Subsidiary),New York,United States,1,159,1,30,,,,,,
10058-77,6,51,5854.1,Alcohol,2963.29207,1998,Actively Seeking New Employees,Boston,United States,3,235,1,29,,2,2,,9,12
100582-75,1,6,1.184,Pets,0.13028456,2013,Actively Seeking New Employees,Mountain View,United States,27,51,24,41,,5,10,,6,12
100583-56,0,0,,Furniture,,2009,,Montreal,Canada,2,5,2,4,,,1,,,1
100597-87,0,1,570,Alcohol,230,2014,Actively Seeking New Employees,Herzliya,Israel,6,21,5,13,1,2,2,1,2,2
10060-21,2,79,9000,Alcohol,2288.995733,1988,Actively Seeking New Employees,New York,United States,5,676,5,106,,1,1,,30,43
100604-26,0,4,,Toys,,2005,Actively Seeking New Employees,Lule������,Sweden,1,82,1,66,,,,,,
100605-70,0,4,,Toys,,2012,Out of Business,Houston,United States,1,41,1,20,,,,,,
10062-19,21,48,,Growth/Expansion,154.89,1990,Actively Seeking New Employees,Baltimore,United States,7,222,6,16,,1,2,,3,7
100624-51,1,14,417.3548654,Pets,200.8552747,2012,Actively Seeking New Employees,Berlin,Germany,61,130,33,62,,10,16,1,14,20
100629-82,0,3,,Angel Group,,,Actively Seeking New Employees,London,United Kingdom,2,32,2,26,,,,1,1,5
10063-18,0,0,,Banking,,1821,,London,United Kingdom,1,3,1,1,,,,,,
100634-41,0,1,,Pets,,,Actively Seeking New Employees,North Miami Beach,United States,1,6,1,2,,,,,,
10065-16,11,25,451.7,Growth/Expansion,103.5856881,1995,Actively Seeking New Employees,Baltimore,United States,5,137,4,23,,1,2,,6,7
10066-15,81,160,342000,Alcohol,51639.95908,1976,Actively Seeking New Employees,New York,United States,21,1687,14,341,,5,9,4,83,152
10067-86,0,7,3,Other,,1920,Actively Seeking New Employees,Palo Alto,United States,2,30,2,12,,,,,,2
100678-42,0,0,,Toys,,2014,Actively Seeking New Employees,Frankfurt,Germany,18,34,10,19,,2,3,,3,6
10068-85,23,46,80000,Alcohol,3078.744585,2000,Actively Seeking New Employees,New York,United States,4,262,3,34,,3,4,,6,11
100686-70,0,2,67.5,Office,68.54331,2014,Actively Seeking New Employees,Rome,Italy,3,19,2,11,,2,3,,2,3
100690-93,0,0,,Pets,,2010,Actively Seeking New Employees,Hyderabad,India,1,20,1,17,,,,,,
100698-40,2,0,401.5,Pets,19,2014,Actively Seeking New Employees,Hong Kong,Hong Kong,1,15,1,8,,,,,3,3
100699-03,0,1,,Alcohol,15,2012,Actively Seeking New Employees,Beijing,China,2,18,2,12,,,,,,
10070-56,7,46,3250.84691,Alcohol,1589.378755,1986,Actively Seeking New Employees,Providence,United States,1,255,1,24,,,,,4,9
10070-83,66,180,1250,Pets,3.6875,1978,Actively Seeking New Employees,Greenwich,United States,20,740,12,36,,2,3,,3,4
10071-01,9,19,2300000,Food,8931.59774,1935,Actively Seeking New Employees,Kansas City,United States,9,200,5,68,,2,2,,14,20
10072-09,3,20,15000,Limited Partner,3948.134206,2009,Actively Seeking New Employees,Toronto,Canada,2,120,2,34,,,,,1,1
10072-27,0,7,,Other,,1972,Actively Seeking New Employees,Mountain View,United States,1,25,1,9,,,,,1,1
10072-54,87,31,1470000,Food,117.2493345,1937,Actively Seeking New Employees,Baltimore,United States,75,351,48,125,,26,37,,45,64
100731-07,0,1,,Toys,,2014,Actively Seeking New Employees,Buffalo,United States,11,61,10,52,,,,,,
10074-07,1,11,159.6,Alcohol,78.1631025,1999,Actively Seeking New Employees,Houston,United States,1,42,1,7,,,,,,
10074-61,109,168,58000,Alcohol,13105.78457,1966,Actively Seeking New Employees,New York,United States,33,1349,24,232,,6,12,1,60,93
10075-78,0,6,,Pets,,1995,Actively Seeking New Employees,Redwood City,United States,1,15,1,7,,,,,1,2
10077-85,17,90,1894.76,Pets,0,1993,Actively Seeking New Employees,San Mateo,United States,5,310,5,26,,,2,,1,3
100778-23,1,3,500,Pets,,2014,Actively Seeking New Employees,Paddington,Australia,42,79,27,43,,5,10,,7,12
10078-21,0,7,,Banking,,1973,Actively Seeking New Employees,Boston,United States,3,27,2,8,1,1,2,1,3,6
100800-82,2,3,0.14571469,Pets,,2011,Actively Seeking New Employees,Croydon,United Kingdom,5,22,5,15,,,,,,
10081-72,0,0,,Banking,,1965,Actively Seeking New Employees,Los Angeles,United States,3,6,3,4,,,2,,,2
10082-62,0,4,,Banking,,1871,Actively Seeking New Employees,New York,United States,1,15,1,1,,,,,,1
10082-98,0,3,,Limited Partner,,1926,,New York,United States,1,31,1,8,,,,,4,4
100823-50,0,6,,Pets,,2012,Actively Seeking New Employees,London,United Kingdom,3,14,3,3,,,,,,
10083-16,5,36,12270,Alcohol,3052.070775,2001,Actively Seeking New Employees,Boston,United States,1,237,1,42,,,,,,2
100843-57,0,1,,Toys,,,Actively Seeking New Employees,Tempe,United States,3,22,2,15,,,1,,,1
10086-31,2,7,,Banking,,1920,Actively Seeking New Employees,Leawood,United States,1,17,1,4,,,,,,
100881-19,1,5,10.86,Pets,2.44330425,2013,Actively Seeking New Employees,Los Angeles,United States,5,27,4,11,,,1,,,1
10089-46,3,3,100,Pharma,,1990,Actively Seeking New Employees,Dallas,United States,1,26,1,1,,1,1,,2,3
100906-84,0,1,,Pets,,,Actively Seeking New Employees,Toronto,Canada,1,13,1,9,,,,,,
100908-82,0,0,,Banking,,1985,,Charlotte,United States,1,2,1,1,,,,,,
10091-08,18,77,2900000,Furniture,22.90891304,,Actively Seeking New Employees,Charlotte,United States,2,154,2,22,,,1,,,1
10091-53,5,8,31000,Furniture,,1950,,Toronto,Canada,9,67,8,34,1,2,3,1,4,8
100927-99,0,1,,Pets,,2014,Actively Seeking New Employees,Manhattan Beach,United States,7,36,5,24,,,2,,1,3
10094-14,19,46,3400,Growth/Expansion,0,1991,Actively Seeking New Employees,Boston,United States,1,216,1,6,,,,,,
10095-04,1,18,264898.1223,Lender/Debt Provider,,1817,Actively Seeking New Employees,Toronto,Canada,3,59,3,11,,,,,1,5
10095-22,0,11,205,Alcohol,0,1985,Actively Seeking New Employees,Radnor,United States,1,80,1,8,,,,,,1
10095-31,5,13,,Pets,0,1996,Out of Business,Philadelphia,United States,1,34,1,6,,,,,,
10096-12,3,20,73000,Alcohol,12278.28371,2000,Actively Seeking New Employees,Austin,United States,8,426,7,72,,4,5,2,39,55
10096-21,0,0,,Other,,1933,Actively Seeking New Employees,Boston,United States,1,1,1,1,,,,,,
100965-43,0,1,,Other,,2014,,,Seychelles,1,4,1,3,,,1,,,2
10097-11,1,20,10000,Alcohol,2673.644169,2000,Actively Seeking New Employees,Menlo Park,United States,5,281,4,57,,,,2,21,31
10097-56,2,85,43000,Alcohol,15069.8769,1993,Actively Seeking New Employees,Miami,United States,5,659,5,166,,1,2,,36,51
10099-45,1,2,,Banking,,1862,Actively Seeking New Employees,San Francisco,United States,5,17,5,9,,2,2,,2,2
10100-89,1,3,,Banking,,1912,Actively Seeking New Employees,Seattle,United States,2,18,2,7,,,,,,
10100-98,0,2,1410000,Lender/Debt Provider,830.4269451,1889,Actively Seeking New Employees,Chicago,United States,1,19,1,7,,,,,,
10101-79,0,0,,Banking,,1989,Actively Seeking New Employees,Boca Raton,United States,1,45,1,3,,,1,,,2
10102-33,6,17,90494.03961,Food,1468.93536,1803,Actively Seeking New Employees,London,United Kingdom,4,120,4,48,,2,2,,2,3
101021-23,1,5,800.8374518,Pets,120.4433748,1991,Actively Seeking New Employees,Lisboa,Portugal,6,80,4,38,,,,,,
101026-72,0,2,,Pets,,2012,Actively Seeking New Employees,Kiev,Ukraine,3,13,2,5,,,1,,,1
10107-01,0,2,321400,Banking,223.9544162,1937,Actively Seeking New Employees,New York,United States,1,47,1,5,,1,1,,1,1
101074-96,0,1,,Pets,5.07094449,2008,Actively Seeking New Employees,Gda������������,Poland,6,50,4,29,,1,1,,1,2
10108-09,0,10,,Banking,,1961,Actively Seeking New Employees,Palo Alto,United States,10,45,9,29,,1,2,,1,3
10109-26,15,96,667.694112,Pets,78.18165786,1996,Actively Seeking New Employees,San Bruno,United States,2,350,2,28,,,,,,
10109-35,0,2,,Banking,,1916,Actively Seeking New Employees,Attleboro,United States,1,18,1,4,,1,1,,4,5
10110-61,0,5,,Banking,,1998,Acquired/Merged,New York,United States,1,10,1,1,,1,1,,1,1
10114-21,0,5,,Toys,,1973,Actively Seeking New Employees,New York,United States,2,55,2,22,,,,,,
101160-82,0,0,,Pets,15,2014,Actively Seeking New Employees,Boston,United States,2,14,1,6,,,,,,
10117-54,0,2,,Food,,1998,Actively Seeking New Employees,Memphis,United States,3,17,2,4,,,,,,
101192-32,0,0,,Toys,,,,,,1,8,1,7,,,,,,
10120-60,64,81,40000,Growth/Expansion,6913.730969,1980,Actively Seeking New Employees,New York,United States,73,693,44,139,,18,28,,46,78
10121-86,84,166,23000,Alcohol,5494.392453,1984,Actively Seeking New Employees,Boston,United States,29,891,21,108,1,6,10,1,23,47
101218-96,1,3,,Office,,,Actively Seeking New Employees,Dundee,United Kingdom,3,16,3,8,,1,2,,1,2
10123-03,17,143,9127,Pets,4818.452378,2000,Actively Seeking New Employees,Cambridge,United States,223,903,147,259,3,42,77,3,52,96
10127-62,0,7,14143,Banking,,1967,Actively Seeking New Employees,Secaucus,United States,2,61,2,5,,,,,,3
101274-94,0,4,,Pets,,2014,Actively Seeking New Employees,San Francisco,United States,1,10,1,5,,,,,,
101277-46,0,1,,Toys,,2012,Actively Seeking New Employees,Copenhagen,Denmark,9,26,4,11,,1,1,,1,1
10132-57,0,7,78689.3,Banking,,1906,Actively Seeking New Employees,Columbus,United States,2,20,2,8,,,2,,,3
101329-57,0,2,,Pets,,2013,Actively Seeking New Employees,Stockholm,Sweden,6,16,4,8,,,,,,
10133-20,38,183,2500,Pets,1229.506792,1970,Actively Seeking New Employees,San Francisco,United States,95,714,61,121,1,13,26,1,16,33
10133-56,1,8,12531.2,Pharma,11553.1558,2000,Actively Seeking New Employees,San Francisco,United States,1,68,1,22,,,1,,,5
10134-19,0,2,,Gardening,,2002,Actively Seeking New Employees,New York,United States,1,54,1,2,,,,,,
10134-46,11,86,400255,Furniture,130.9067237,,Actively Seeking New Employees,Edinburgh,United Kingdom,5,317,4,54,,,,,2,6
10134-73,108,279,6671,Pets,1883.531477,1911,Actively Seeking New Employees,Redwood City,United States,273,1376,164,267,1,52,82,1,62,97
10135-63,1,2,,Banking,,1988,Actively Seeking New Employees,San Jose,United States,1,54,1,2,,,,,1,2
10135-81,11,92,1400,Pets,114.975,1986,Actively Seeking New Employees,Princeton,United States,43,354,32,58,,3,8,,4,10
10136-62,1,15,491,Alcohol,201.21,1996,Actively Seeking New Employees,Nashville,United States,2,119,2,14,,,,,,3
101389-42,0,4,51.4,Pets,11.55375,2014,Actively Seeking New Employees,Redwood City,United States,10,19,8,12,,1,2,,1,2
10139-41,98,338,20000,Pets,8194.752068,1983,Actively Seeking New Employees,Palo Alto,United States,408,1902,226,421,6,56,111,6,66,133
10139-95,1,2,26422.1,Pharma,5108.92369,1991,Actively Seeking New Employees,Dallas,United States,1,16,1,2,,,,,,
101393-92,0,0,,Toys,,,Actively Seeking New Employees,Mountain View,United States,3,69,3,65,,,,,5,10
10140-22,4,20,135000,Pharma,20716.07952,2005,Acquired/Merged (Operating Subsidiary),New York,United States,1,202,1,45,,,,,7,11
101407-33,0,0,,VC-Backed Company,,2008,,Beijing,China,1,4,1,2,,,,,,
10141-57,2,28,12083,Banking,,1885,Actively Seeking New Employees,Dallas,United States,7,129,5,22,,1,2,,1,3
10141-66,10,31,8420.892773,Alcohol,3372.905118,1986,Actively Seeking New Employees,Stamford,United States,1,239,1,19,,,,1,17,26
10143-37,2,3,,Banking,,1984,Actively Seeking New Employees,Plano,United States,1,14,1,2,,,,,,
101456-20,1,0,,Banking,,1994,Actively Seeking New Employees,New York,United States,3,7,2,5,,,2,,,3
10146-16,25,134,3900,Pets,28.52492907,1979,Not Making New Products,Austin,United States,2,602,2,24,,,1,,1,3
101473-93,0,1,,Banking,,2004,,Heraklion,Greece,2,10,2,9,,,,,,
10148-86,1,10,1193001.019,Furniture,88.18786667,1997,Actively Seeking New Employees,London,United Kingdom,2,53,2,18,,,,,1,1
10150-21,22,27,49900,Food,9184.252599,1998,Acquired/Merged (Operating Subsidiary),New York,United States,4,232,4,62,,1,1,1,4,11
10151-56,8,25,3000,Alcohol,1572.957964,1997,Actively Seeking New Employees,San Francisco,United States,1,123,1,15,,,,,3,6
10152-64,0,16,1125,Alcohol,559.0562305,1997,Actively Seeking New Employees,Winston-Salem,United States,1,190,1,28,,,,,6,9
10154-53,4,12,202000,Holding Company,,1838,Actively Seeking New Employees,Omaha,United States,1,152,1,27,,,,2,4,5
10154-71,3,9,,Alcohol,,1988,Actively Seeking New Employees,Vancouver,United States,2,50,1,13,,,,,,
10156-06,5,12,184,Alcohol,0,1969,Actively Seeking New Employees,New York,United States,2,63,2,7,,,,,,
10156-15,0,10,,Alcohol,4.66,1986,Actively Seeking New Employees,White Plains,United States,2,63,2,10,,,,,,1
10156-69,5,34,1000,Pets,9.97121989,2001,Actively Seeking New Employees,Washington,United States,30,194,18,34,,3,8,,5,13
10157-68,0,0,40,Banking,,1959,Will Consider New Projects,Kyoto,Japan,2,21,2,5,,,,,2,4
10157-77,0,1,,Banking,,1905,Actively Seeking New Employees,London,United Kingdom,1,3,1,1,,,,,,
10157-86,70,132,109100,Alcohol,44010.20673,1981,Actively Seeking New Employees,Luxembourg,Luxembourg,1,716,1,100,,,,1,26,37
101572-30,1,16,518,Growth/Expansion,3.00842697,2008,Actively Seeking New Employees,,United States,3,67,2,15,,1,1,,1,1
10160-74,5,37,3500,Alcohol,2216.811802,1999,Actively Seeking New Employees,Philadelphia,United States,2,305,1,44,,,1,1,17,22
101601-91,0,2,,Toys,,2014,Actively Seeking New Employees,Ottawa,Canada,3,66,3,56,,,,,,
10161-37,5,13,53.5,Alcohol,0,1995,Actively Seeking New Employees,Greenwich,United States,3,64,1,7,,1,2,,3,4
101619-01,1,9,290.3338194,Impact Investing,,2010,Actively Seeking New Employees,Eindhoven,Netherlands,25,351,18,259,,4,10,,24,54
10162-81,3,35,10151.5,Alcohol,3892.787202,1987,Actively Seeking New Employees,San Francisco,United States,3,118,3,20,,1,3,,1,6
101626-39,2,6,,Pets,,2003,Actively Seeking New Employees,New York,United States,1,20,1,10,,,,,,
10163-71,1,18,104100,Furniture,57.74742,1898,Actively Seeking New Employees,Utrecht,Netherlands,7,92,6,48,,1,2,,6,9
101642-77,0,3,450,Office,132.367117,2014,Actively Seeking New Employees,Boston,United States,39,71,23,34,,4,10,,5,12
101645-29,0,3,,Toys,,2008,Actively Seeking New Employees,Ithaca,United States,2,60,2,44,,,,,,1
101655-82,0,1,285,Banking,,2005,Actively Seeking New Employees,Marina del Rey,United States,2,12,1,7,,,,,1,1
101670-94,0,6,125,Pets,125,2016,Actively Seeking New Employees,Singapore,Singapore,4,127,4,103,,,,,1,3
10169-29,3,25,26391,Banking,,1849,Actively Seeking New Employees,Dallas,United States,10,65,9,29,,,1,,,3
10171-45,5,47,800,Growth/Expansion,1236.054138,1988,Actively Seeking New Employees,Wellesley,United States,1,165,1,21,,,,,6,10
101717-38,0,1,,Pets,,2014,Actively Seeking New Employees,Sao Paulo,Brazil,1,16,1,14,,,,,1,1
10172-89,0,2,70,Alcohol,32.99776554,2009,Actively Seeking New Employees,West Palm Beach,United States,3,14,3,5,1,1,2,1,1,2
10173-07,0,5,205000,Furniture,,1980,Actively Seeking New Employees,Atlanta,United States,3,26,3,13,,,,,,1
101748-16,0,1,50,Pets,11.25,2014,Actively Seeking New Employees,San Francisco,United States,22,50,13,27,,2,5,,2,8
10175-14,8,30,82122.00963,Pharma,4372.922782,1988,Actively Seeking New Employees,New York,United States,2,159,2,34,,,,,,
10175-86,1,10,,Banking,,1899,Actively Seeking New Employees,Lijnden,Netherlands,1,26,,4,,1,1,,2,2
101779-48,0,1,,Banking,,1964,Actively Seeking New Employees,La Vergne,United States,2,13,1,4,,,,,,
10178-65,6,37,28729.74115,Banking,,1988,Actively Seeking New Employees,Paris,France,3,122,3,26,,,,,1,2
10179-91,7,13,371.865599,Alcohol,115.036603,1983,Actively Seeking New Employees,Dallas,United States,1,87,1,15,,1,1,,2,2
10181-17,38,139,3000,Pets,32.33728125,1968,Actively Seeking New Employees,Portola Valley,United States,6,528,3,37,,1,1,,2,2
101830-69,1,9,,Angel Group,,2011,Actively Seeking New Employees,New York,United States,14,69,9,39,,1,3,,2,5
10184-77,1,2,,Alcohol,,1984,Actively Seeking New Employees,Denver,United States,3,15,2,5,,1,1,,1,1
101848-06,0,0,,Banking,,1968,,Singapore,Singapore,1,3,1,2,,,1,,,1
10187-83,8,31,314005,Real Estate,20.42010552,1919,Actively Seeking New Employees,New York,United States,2,70,1,14,,,1,,,1
101886-67,0,5,137252.385,Sport,,,,,,1,19,1,15,,,,,,
