LandLordID,YearFounded,PreferredIndustry,LandlordOriginCity,LandlordOriginCountry,ActiveCompanies,TotalPopulationAround,Area,AllCompanyID,LastUpdated
100211-68,2010,Healthcare Devices and Supplies,Boulder,United States,9,585765.3031,34,"['112503-97', '125280-37', '161290-00', '51733-72', '53337-61', '55334-17', '58725-19', '65072-62', '97418-62']",02/22/2021
100234-81,2010,Software,Nashville,United States,11,923227.4311,26,"['10022-14', '100236-61', '111431-71', '115321-15', '12388-87', '159458-86', '52913-08', '54266-59', '54561-70', '56537-83', '57226-24']",02/22/2021
100237-42,2013,Software,Chester,United Kingdom,6,564832.3551,20,"['106705-63', '10688-23', '163842-94', '179370-91', '234619-48', '53301-07']",02/02/2021
100237-87,2009,Commercial Products,Northbrook,United States,11,593828.142,14,"['105929-56', '11218-06', '11260-45', '11575-18', '151582-87', '154223-47', '170533-09', '188008-48', '42329-89', '436680-19', '62168-86']",02/22/2021
100273-15,2013,Other Financial Services,Berlin,Germany,12,426625.5918,29,"['10396-36', '107979-40', '11572-48', '120864-25', '12415-42', '14187-97', '159059-62', '228116-26', '42814-36', '51469-48', '53975-26', '64623-07']",02/02/2021
100278-64,2014,Commercial Services,San Francisco,United States,7,189087.5951,29,"['10463-23', '232535-17', '41716-90', '42715-00', '50986-90', '55970-02', '87063-49']",02/22/2021
100304-02,2007,Software,Atlanta,United States,2,312469.7084,51,"['51338-26', '54266-59']",02/22/2021
100317-88,2013,Apparel and Accessories,Los Angeles,United States,11,723273.7351,71,"['11201-59', '11270-53', '125602-48', '153149-68', '157635-01', '163859-59', '188064-82', '51435-19', '55878-49', '61235-11', '83825-47']",02/22/2021
100319-23,,Services (Non-Financial),New York,United States,15,623152.4511,38,"['106107-22', '106354-72', '11163-88', '111811-96', '150042-52', '154035-46', '24981-04', '51006-88', '51594-22', '53571-07', '53605-81', '54625-87', '60361-75', '65419-66', '65636-74']",02/02/2021
100347-04,2014,Apparel and Accessories,London,United Kingdom,6,168576.9365,29,"['181002-25', '181725-49', '184475-17', '51006-88', '51488-11', '58924-09']",02/15/2021
100358-56,2013,Software,London,United Kingdom,6,403824.6294,42,"['109103-59', '115055-47', '169202-53', '178396-66', '40380-31', '56752-12']",02/22/2021
100360-63,2014,Software,Lehi,United States,9,886190.4602,2,"['10042-21', '10463-23', '11318-86', '42788-17', '51663-79', '55865-53', '56060-38', '56302-03', '90510-13']",02/02/2021
100367-20,2006,Software,Scottsdale,United States,2,82352.92459,65,"['11249-65', '11579-59']",02/22/2021
100369-36,2014,Software,Tokyo,Japan,13,896853.0046,65,"['10357-03', '11215-54', '151543-72', '153289-81', '226878-04', '230049-01', '231606-28', '339873-94', '42814-36', '42871-51', '51253-84', '54419-50', '55868-32']",02/02/2021
100372-78,2010,Software,Princeton,United States,6,280097.8571,43,"['11270-53', '119903-32', '120421-72', '442918-45', '442918-63', '51472-63']",02/15/2021
100373-05,2013,IT Services,San Jose,United States,16,18241.19292,73,"['106566-13', '109968-85', '109969-12', '109969-48', '109969-66', '11135-26', '11165-23', '11193-13', '115456-51', '129200-41', '184298-23', '232112-71', '234000-46', '45704-44', '51029-47', '99756-10']",02/22/2021
100373-50,2014,Software,Los Angeles,United States,13,978503.5914,78,"['10311-40', '11110-24', '11154-61', '118790-74', '229908-88', '42259-06', '42297-04', '43010-92', '51002-92', '51130-36', '51755-50', '52339-60', '52857-46']",02/22/2021
100386-01,2011,Healthcare Devices and Supplies,Burlingame,United States,58,139863.2036,36,"['10072-54', '10123-03', '10133-20', '105859-36', '105974-56', '106019-47', '106122-79', '106129-18', '106137-91', '106214-14', '106298-11', '106310-08', '106316-65', '106519-15', '106519-51', '106531-21', '106540-30', '106546-87', '106568-92', '106622-20', '107540-47', '107827-12', '11174-86', '111997-63', '111998-98', '112032-01', '112032-19', '112032-37', '11227-60', '11296-45', '119727-82', '119728-00', '119728-18', '124315-39', '149720-23', '166677-85', '169461-64', '170394-04', '222253-66', '222843-70', '222965-56', '223507-63', '265955-50', '277615-72', '278290-00', '51653-62', '51768-10', '52499-80', '53333-83', '53858-62', '54064-81', '54726-76', '55436-86', '55481-05', '57379-15', '60374-26', '60622-12', '66036-07']",02/02/2021
100398-79,2013,Software,New York,United States,12,778908.3083,55,"['106373-89', '106640-47', '107991-55', '108007-48', '108007-66', '108135-55', '108135-64', '108135-73', '108189-73', '14192-65', '45250-57', '56263-33']",02/22/2021
100413-64,2011,Software,Manchester,United Kingdom,4,421502.4597,20,"['108071-56', '109246-51', '109246-87', '459863-02']",02/15/2021
100419-40,2008,Software,Addison,United States,4,785464.5327,3,"['10905-04', '124929-64', '42457-24', '434280-25']",02/02/2021
100423-00,2013,Software,San Francisco,United States,22,420151.1976,60,"['104749-57', '105882-22', '105884-65', '105961-15', '106076-35', '106192-36', '108358-57', '109292-50', '109292-59', '109292-77', '119012-05', '152177-23', '168590-98', '183715-30', '227027-53', '51022-00', '51080-05', '54207-19', '54613-90', '57674-89', '61637-68', '82688-41']",02/02/2021
100467-91,2013,Software,Bengaluru,India,14,160657.3606,57,"['109935-64', '110655-46', '114149-08', '11919-79', '119731-24', '151582-87', '154351-72', '168150-61', '168151-87', '223968-34', '41494-87', '51063-04', '54172-81', '97152-04']",02/02/2021
100506-97,2011,Services (Non-Financial),Bengaluru,India,9,892831.5821,18,"['10453-33', '109840-78', '124582-33', '167489-20', '173287-36', '188083-45', '55873-36', '61551-91', '97730-74']",02/22/2021
100511-02,2013,Software,San Francisco,United States,26,8118.127748,63,"['10123-03', '105876-64', '105890-77', '105941-98', '105972-49', '106114-06', '106124-86', '106206-58', '106232-50', '106310-08', '106589-80', '112695-85', '114018-76', '155035-36', '229762-63', '231270-40', '416664-64', '42715-09', '49063-60', '50980-51', '54461-80', '54726-76', '55346-14', '62138-71', '64842-13', '65906-83']",02/15/2021
100532-26,2008,Commercial Services,Richmond,Canada,12,685637.1912,4,"['11256-85', '154991-89', '40999-33', '50916-61', '52514-11', '52587-10', '52587-19', '53296-75', '54288-91', '58852-90', '65523-25', '83750-32']",02/15/2021
100535-50,2014,Consumer Durables,Bengaluru,India,16,825118.4874,34,"['10107-01', '10134-73', '106531-21', '11169-82', '11208-43', '11319-31', '124222-15', '166887-91', '170364-97', '25168-96', '265466-44', '432852-94', '54086-14', '56877-76', '57356-11', '91029-07']",02/02/2021
100546-21,2012,Software,Houston,United States,5,310666.727,27,"['10914-67', '11115-37', '12083-23', '14194-63', '169642-54']",02/09/2021
100547-83,2014,Software,London,United Kingdom,10,25853.65982,15,"['10364-77', '105862-42', '106085-62', '106129-36', '106225-39', '115642-90', '11568-16', '166172-86', '226347-85', '265951-54']",02/22/2021
100548-55,2000,Commercial Services,Tokyo,Japan,9,673943.2504,20,"['108687-79', '110331-55', '11247-67', '11435-05', '459171-10', '51094-72', '60195-52', '89576-92', '95034-70']",02/02/2021
100564-84,2014,Software,Madison,United States,3,856975.1764,13,"['100566-10', '157182-13', '54215-92']",02/09/2021
100569-70,2001,Software,Copenhagen,Denmark,4,782254.6448,53,"['156134-08', '56386-27', '58424-77', '88611-13']",02/22/2021
100594-09,2014,Software,London,United Kingdom,8,951041.5227,67,"['120641-50', '157218-94', '178833-07', '230992-84', '438714-28', '60341-41', '60700-96', '65498-41']",02/22/2021
100602-91,2012,Software,��rebro,Sweden,4,493340.4799,61,"['167287-15', '167287-78', '384738-04', '54522-01']",02/22/2021
100608-94,2012,Commercial Services,London,United Kingdom,3,482390.0952,63,"['110075-59', '54546-58', '58263-58']",02/02/2021
100619-38,2014,Commercial Products,Kirkland,United States,11,389143.3928,78,"['10026-64', '106350-58', '11211-13', '11229-04', '11229-85', '11251-81', '11331-10', '11611-63', '42255-82', '43011-19', '51741-19']",02/22/2021
100620-91,2000,Commercial Products,��stersund,Sweden,8,783962.3675,32,"['149477-59', '167795-92', '181124-11', '454898-53', '54522-01', '55831-15', '59962-69', '62267-95']",02/02/2021
100623-25,2006,"Restaurants, Hotels and Leisure",New York,United States,1,946104.3738,27,['169156-36'],02/02/2021
100624-06,2012,Consumer Non-Durables,Milan,Italy,7,34201.00769,9,"['109616-86', '166857-85', '166858-93', '166859-29', '222621-13', '55996-12', '98160-76']",02/15/2021
100643-68,2014,Media,Hyderabad,India,12,219344.8985,58,"['10883-44', '10905-04', '109912-33', '125903-08', '125907-58', '151247-80', '155892-16', '155892-25', '155892-34', '155892-43', '60882-94', '63139-69']",02/15/2021
100649-98,2009,Healthcare Technology Systems,Uppsala,Sweden,10,571467.0145,20,"['109774-45', '120641-50', '162039-34', '164291-68', '180462-70', '231344-11', '433014-04', '54522-01', '57639-25', '58104-64']",02/22/2021
100650-07,2010,Software,Gothenburg,Sweden,2,768503.9279,31,"['119020-51', '54587-98']",02/02/2021
100654-48,2011,Commercial Products,Elche,Spain,16,524061.5238,70,"['101730-88', '104338-63', '10772-20', '11547-64', '120641-50', '128407-69', '160813-36', '166618-09', '166618-27', '174882-34', '229627-18', '54497-26', '54589-42', '58205-08', '60924-16', '61320-79']",02/22/2021
100655-56,2010,Software,Paris,France,11,880632.1343,34,"['11183-95', '123625-45', '161552-17', '176440-51', '224397-01', '251508-25', '42069-70', '58004-02', '60026-68', '60217-57', '63603-28']",02/02/2021
100655-65,2010,Media,Grenoble,France,14,306133.2107,20,"['105760-81', '110077-75', '110077-84', '110078-29', '11334-97', '234758-17', '234758-26', '44066-53', '55656-10', '56262-61', '56503-00', '56529-19', '58004-02', '60026-68']",02/02/2021
100672-66,2012,Software,Malm��,Sweden,3,572727.9062,48,"['54522-01', '56750-86', '60311-89']",02/02/2021
100744-84,2012,Software,San Francisco,United States,47,729765.2006,18,"['10133-20', '105870-79', '105941-98', '105967-00', '105972-94', '106033-87', '106053-40', '106070-77', '106113-43', '106122-79', '106310-08', '106358-14', '106388-92', '106431-58', '106569-73', '106639-30', '107653-24', '107827-12', '109377-37', '109411-75', '11133-01', '114033-79', '119842-84', '125702-02', '183656-44', '222965-56', '223665-31', '223959-34', '226728-91', '231918-76', '232480-00', '234579-25', '234579-52', '234579-70', '234580-69', '234584-92', '338660-11', '40829-14', '50980-51', '51625-90', '52815-70', '53715-43', '54207-19', '56091-70', '56833-03', '57379-15', '62527-69']",02/22/2021
100760-50,2014,Commercial Services,Greifswald,Germany,3,571844.9909,66,"['127211-68', '226008-01', '229818-79']",02/22/2021
100773-82,2014,Computer Hardware,Tokyo,Japan,16,80175.19741,5,"['10599-22', '112342-87', '112343-05', '14165-56', '149385-16', '153740-53', '164195-74', '279184-96', '431704-18', '431704-27', '431704-36', '52589-98', '52646-23', '54083-62', '57643-48', '59047-30']",02/15/2021
100779-40,2014,Software,San Francisco,United States,39,343741.2519,16,"['10230-94', '10463-23', '106616-35', '107357-77', '107653-96', '110087-92', '11186-74', '11228-50', '114363-73', '114697-81', '123481-27', '12622-96', '128386-72', '129297-16', '153042-22', '171102-52', '181873-72', '182146-42', '184197-07', '222078-97', '231674-68', '266547-43', '439215-13', '439290-01', '442499-05', '49063-60', '52148-44', '52179-76', '53279-74', '54998-83', '56560-42', '56877-76', '57017-26', '59934-34', '60082-66', '60945-31', '61423-30', '62138-71', '95034-70']",02/15/2021
100784-35,2013,Healthcare Technology Systems,Indianapolis,United States,8,216732.0341,23,"['11147-50', '131136-67', '161346-52', '170741-80', '51038-20', '54220-69', '56345-86', '58494-07']",02/22/2021
100788-13,2011,Software,Paris,France,12,729938.948,27,"['110921-14', '11216-98', '11268-55', '149971-33', '164290-24', '187980-13', '231028-48', '52774-75', '53807-59', '56790-19', '62565-04', '64545-67']",02/02/2021
100815-58,2011,"Exploration, Production and Refining",Woking,United Kingdom,6,32633.82813,48,"['107015-05', '109691-65', '179862-67', '56755-45', '60330-16', '95433-04']",02/15/2021
100819-99,2013,Software,London,United Kingdom,12,257683.8458,51,"['107932-15', '108201-97', '125873-29', '131485-96', '132215-05', '180845-83', '227341-18', '229438-63', '54266-50', '57670-21', '59092-21', '60687-28']",02/22/2021
100838-08,2014,Commercial Services,Portland,United States,8,897027.6432,30,"['11254-42', '323248-42', '40414-78', '53696-62', '55695-52', '56336-41', '63943-21', '63943-39']",02/15/2021
100838-35,2013,Other Financial Services,Marina del Rey,United States,41,596666.1187,48,"['10024-93', '100881-19', '10382-32', '10579-06', '105897-16', '105906-07', '106004-89', '106012-27', '106135-03', '106165-09', '106310-53', '106545-70', '10789-57', '111515-05', '111654-55', '11262-16', '115480-81', '118793-71', '119867-41', '124142-50', '124142-68', '124142-77', '179085-25', '222971-59', '222971-68', '222971-86', '222972-04', '222972-13', '222972-31', '223970-50', '224335-36', '229224-88', '267182-65', '40814-11', '439459-12', '459510-04', '52248-52', '52353-46', '52973-20', '57585-88', '65426-41']",02/15/2021
100863-73,,Software,Berlin,Germany,12,325303.4774,20,"['102577-60', '10396-45', '120641-50', '154387-00', '227625-85', '266152-42', '431300-62', '53974-99', '55017-46', '56010-97', '56624-05', '94964-41']",02/02/2021
100875-70,2009,Software,London,United Kingdom,2,26719.3723,49,"['112866-31', '60146-02']",02/02/2021
100899-01,2014,Media,Santiago,Chile,15,944449.3384,72,"['114369-58', '168611-59', '179180-65', '222126-94', '229143-70', '315142-57', '327466-27', '399616-30', '399616-39', '399616-66', '458757-19', '51700-69', '56157-94', '61224-94', '61861-06']",02/22/2021
100901-08,2015,Software,Zurich,Switzerland,9,25284.93411,55,"['127615-15', '157481-47', '170027-02', '232432-30', '51311-35', '58578-13', '61438-87', '61443-91', '66331-72']",02/02/2021
100911-07,2012,Software,New York,United States,3,293461.4925,40,"['10135-81', '167279-23', '56237-68']",02/22/2021
100912-15,,Software,Hong Kong,Hong Kong,17,688048.3975,29,"['102317-95', '108128-17', '118973-53', '120200-86', '122776-66', '149097-88', '149099-50', '149606-11', '156681-82', '227956-33', '266239-54', '268095-16', '279800-11', '51322-24', '54172-81', '60912-82', '83348-29']",02/08/2021
100926-10,2012,Communications and Networking,Irvine,United States,1,809931.7215,56,['86645-98'],02/22/2021
100930-78,2014,Software,San Mateo,United States,13,728060.4459,76,"['10123-03', '11147-95', '166439-35', '225862-03', '226052-20', '228061-81', '41716-90', '435051-73', '435051-91', '435666-16', '53345-35', '60041-62', '60082-66']",02/02/2021
100936-45,2013,Commercial Services,Huntingdon,United Kingdom,6,564994.008,6,"['10308-34', '119835-28', '58591-90', '60449-41', '61515-10', '65517-31']",02/02/2021
100947-25,2015,Software,Zurich,Switzerland,9,827879.1576,22,"['124655-86', '150605-56', '185024-89', '185025-52', '42814-36', '52646-23', '55117-63', '55542-70', '56502-19']",02/22/2021
100949-77,2010,Software,Saint George,United States,1,589895.7691,69,['121115-62'],02/22/2021
100973-71,2014,Software,Sydney,Australia,1,871355.2722,24,['398898-82'],02/15/2021
100981-99,2012,Software,Vancouver,Canada,2,28734.81577,4,"['165992-59', '90649-36']",02/15/2021
100983-88,2008,Consumer Non-Durables,Pipersville,United States,6,696806.2934,66,"['11138-68', '155590-75', '170447-95', '50951-62', '60603-31', '61836-40']",02/02/2021
101006-20,2011,IT Services,New York,United States,,339146.2635,22,['84627-01'],02/15/2021
101024-38,2009,Commercial Services,London,United Kingdom,15,842657.2965,53,"['10444-60', '118968-94', '118969-21', '118969-75', '120641-50', '148969-45', '179127-64', '25292-08', '40398-58', '436051-72', '51037-12', '54197-38', '54581-86', '56121-67', '62301-88']",02/02/2021
101031-94,2014,Media,London,United Kingdom,17,548772.2761,4,"['106395-04', '108317-26', '111313-36', '118924-03', '120702-34', '157263-49', '160151-14', '166645-54', '171102-52', '439788-70', '50933-44', '51006-88', '53398-54', '55261-00', '56460-43', '58740-22', '58924-09']",02/22/2021
101046-70,2009,Commercial Products,Naas,Ireland,10,627810.6504,16,"['160524-64', '42282-46', '452694-25', '452694-61', '452694-79', '452695-15', '452695-24', '452695-42', '452695-51', '452695-69']",02/22/2021
101059-48,2012,Transportation,Seoul,South Korea,1,11986.02756,78,['227225-17'],02/02/2021
101060-38,2011,Other Financial Services,Las Vegas,United States,6,79876.86538,73,"['123374-71', '123374-80', '123374-89', '123374-98', '123375-07', '277662-43']",02/15/2021
101060-65,2015,Software,San Francisco,United States,15,447928.544,48,"['102158-83', '105971-86', '11189-44', '11216-98', '119557-27', '120913-21', '124929-64', '149517-28', '169687-81', '181926-82', '40420-36', '52833-34', '54886-96', '56752-12', '60062-32']",02/02/2021
101066-86,2015,Software,San Francisco,United States,28,422700.9872,63,"['10052-20', '105908-59', '105924-61', '105949-45', '105967-00', '105997-87', '106081-12', '106128-19', '106358-14', '106589-80', '107990-56', '109665-10', '109671-76', '109672-03', '109672-30', '109672-66', '109672-93', '11158-39', '11189-44', '124093-09', '148630-87', '222235-03', '230408-20', '265994-56', '42284-62', '50980-60', '56833-03', '60311-80']",02/22/2021
101077-21,2013,Other Financial Services,Sao Paulo,Brazil,6,801248.063,64,"['101907-28', '114057-19', '166331-44', '343289-08', '61564-69', '82947-34']",02/22/2021
101078-65,2014,Software,New York,United States,15,208905.3415,0,"['10052-20', '106540-30', '109927-90', '11191-96', '11290-51', '120913-21', '227987-11', '303413-86', '327402-91', '50980-69', '53333-83', '53437-15', '53641-36', '56833-03', '61307-02']",02/15/2021
101099-71,2013,Computer Hardware,London,United Kingdom,12,288812.6078,62,"['110998-63', '11220-13', '119053-09', '119053-27', '163701-55', '168097-06', '168793-30', '178412-23', '182080-00', '188083-45', '50933-44', '91705-42']",02/22/2021
101114-11,2012,Consumer Non-Durables,Hong Kong,Hong Kong,10,720636.8332,47,"['11202-04', '156307-33', '167588-65', '183745-54', '188109-64', '224253-01', '51006-88', '54150-49', '56946-25', '63689-14']",02/22/2021
101116-63,2011,Computer Hardware,Haifa,Israel,1,360703.3876,32,"['264691-81', '40438-63', '59607-10']",02/22/2021
101120-05,2011,Software,London,United Kingdom,8,110648.1408,33,"['10416-88', '111563-74', '169991-02', '180754-12', '233965-45', '42834-43', '432457-12', '53885-26']",02/15/2021
101124-82,2013,Consumer Durables,Vancouver,Canada,6,63223.11794,45,"['102950-65', '113023-45', '433496-44', '98102-53', '98671-78', '98773-66']",02/02/2021
101135-08,2006,Software,Newton,United States,2,94443.4323,59,"['442586-98', '96390-73']",02/22/2021
101150-20,2014,Commercial Services,Boulder,United States,5,292950.9179,35,"['107510-32', '11128-06', '11286-01', '229156-57', '62527-69']",02/15/2021
101152-72,2012,Software,San Diego,United States,3,49446.87452,24,"['163302-40', '163328-32', '54447-58']",02/02/2021
101176-48,2013,Software,Chicago,United States,4,140205.2942,59,"['106125-94', '10614-52', '52748-65', '56852-47']",02/22/2021
101179-27,2014,Healthcare Technology Systems,Berkeley,United States,3,70772.01011,15,"['11152-00', '228812-95', '266263-30']",02/02/2021
101194-84,2008,Commercial Banks,Fort Lee,United States,9,289733.2951,13,"['10052-20', '10066-15', '160960-96', '231726-97', '266986-45', '41716-90', '52135-03', '55346-14', '59961-88']",02/15/2021
101206-45,2013,Healthcare Devices and Supplies,Sunnyvale,United States,6,865216.4865,49,"['10108-09', '11336-32', '121194-37', '121197-61', '121198-42', '54172-81']",02/02/2021
101234-62,2010,Other Financial Services,Warsaw,Poland,2,724466.5763,17,"['59286-07', '59350-42']",02/15/2021
101235-97,2012,Media,Seoul,South Korea,2,89572.25349,74,"['11110-06', '60808-87']",02/22/2021
101246-50,2014,Services (Non-Financial),Edgware,United Kingdom,2,195647.6773,32,"['12419-02', '85493-26']",02/15/2021
101263-42,2011,Commercial Products,Yverdon-les-Bains,Switzerland,7,218542.7343,62,"['103496-23', '11550-61', '157481-47', '168382-99', '228739-87', '54632-44', '97655-68']",02/02/2021
101271-34,2014,Other Financial Services,Hamburg,Germany,6,693459.0393,78,"['11124-64', '11268-55', '228319-66', '267918-76', '51189-94', '98807-14']",02/02/2021
101286-73,2014,Consumer Durables,West Henrietta,United States,15,946423.5008,56,"['105849-28', '105980-23', '11290-51', '118441-36', '120913-21', '124092-64', '170795-35', '184619-80', '226843-57', '49922-29', '51097-60', '51478-39', '57174-13', '60478-12', '83135-44']",02/02/2021
101318-05,2015,Consumer Durables,Mexico City,Mexico,10,892307.5277,35,"['106443-37', '108358-57', '112076-74', '11577-16', '222994-81', '226347-85', '227101-78', '459890-56', '58816-54', '62389-27']",02/22/2021
101332-36,2011,Consumer Durables,Lab��ge,France,5,732208.0745,26,"['111939-85', '11220-13', '58004-02', '58265-02', '59218-75']",02/02/2021
101332-45,2014,Other Financial Services,Cardiff,United Kingdom,8,273224.4499,30,"['10394-83', '10568-26', '11120-86', '222264-46', '231069-70', '54172-81', '55017-46', '64286-11']",02/02/2021
101347-03,2014,Software,San Francisco,United States,14,374675.389,27,"['105856-66', '119003-14', '119003-41', '119003-86', '123036-85', '154605-07', '160701-76', '168160-33', '224247-25', '232199-83', '52162-93', '55624-96', '63854-47', '87154-48']",02/02/2021
101353-42,2012,Construction (Non-Wood),Tel Aviv,Israel,11,480793.1768,6,"['162359-65', '163861-03', '169247-44', '169953-85', '186528-07', '235013-68', '311824-99', '453421-36', '51779-98', '59940-37', '65072-62']",02/02/2021
101357-11,2013,Software,Santa Monica,United States,8,263681.6993,40,"['105971-68', '117927-73', '11807-74', '154669-24', '169928-65', '185612-77', '91046-62', '97743-97']",02/02/2021
